"and Weatherald starts with a boundary, rocks back and dispatches this short of length delivery to the deep midwicket boundary"
"short again but quicker this time, pulled straight back towards the bowler"
"length ball at the stumps, tucked away towards midwicket"
"length ball on the pads, gets away with it. Tucked away towards square leg"
"gives himself some room and looks to go over extra cover, misses"
"fuller on the toes, clipped to the left of square leg"
"tossed up at the stumps, and smashed over square leg, dribbles over the boundary line"
"arm ball this time, curving away, pushed towards extra cover"
"flatter outside off, smashes it towards long-on for a couple. A direct-hit from Cooper at the bowler's end. Weatherald put in the dive but he would have made it either way"
"fuller in the slot and slapped over midwicket, all the way for a six this time. Nabi taking some time to adjust"
"fuller around off, smashed but cannot get past mid-off"
"slower in the air, looks to drop on the off side and run but the keeper is quick to the ball"
"fuller and wider and Weatherald throws his bat at it, over backward point for four"
"length but ample room once again, smashed past point for four more"
"length ball at the batsman, comes slower off the wicket. Weatherald was shaping to pull it away but is cramped. Ends up lobbing it over short fine for a couple"
"fuller around off, and lofted over mid-off, Weatherald didn't try to hit it too hard but still had enough on it to carry all the way"
"much better, length ball at the body, pulled towards deep-backward square leg"
"length ball around off, pushed towards cover for a quick single"
"fuller around off, Salt brings the bottom hand into play and smashes it between the bowler and mid-off"
"in the slot once again, Salt goes midwicket and looks like he has got enough here. But Cooper keeps his calm near the boundary. A couple of steps back, pouches it just inside, lobs it in the air before stepping out before coming back and collecting it comfortably"
"length ball outside off, punches it behind point for one"
"length ball outside off, looks to smash towards midwicket, gets an inside edge that misses the stumps. Patel at short fine leg had an opportunity to run Head out at the keeper's end, plenty of time and at least two stumps to aim at. Misses"
"length ball around off, tapped towards cover from the back foot"
"length but too much width, Head latches on to it and cuts it hard through point. The deep-backward point had no chance"
"tossed up around off, pushed towards extra covers"
"flatter outside off, looks to go over mid-on, miscues but enough on it to clear the fielder. Boundary off the second ball of the over this time. Fifty comes up as well for the Strikers"
looks to smash it down the ground once again but he's nowhere near the pitch of the ball and therefore fails to middle it. Cooper takes a couple of steps forward to his left and takes an easy catch
"length ball around off, pushes it towards cover"
"length ball outside off, pushes forward but gets a thick outside edge past the slip fielder"
"length ball around off, comes forward and pushes it towards midwicket"
"length ball at the batsman, defended from the back foot"
"length ball outside off, stays back and just steers it past short third man, races away for four"
"length ball angling in, Head looks to repeat the shot but misses"
"length outside off, cuts it again but this time it's much squarer and deep backward point cuts it off"
"length outside off, looks to push at it and gets beaten. Holds it line after landing"
"short of length outside off, goes for the pull but ends up hitting it onto his leg"
"fuller outside off, pushes it towards long-off"
"length outside off, goes for the cut but gets an outside edge. In the air but away from Samit Patel at short third man"
"tossed up around off and middle, comes forward and nudges it towards midwicket, the fielder is at the boundary and that allows the batsmen to come back for the second"
"slower, length outside off and spinning big, Wells had to really reach out for it to connect the pull"
"length around off, cuts it towards cover"
"fuller outside off, driven towards long-off"
"fuller around off, punched towards long-off"
"length ball on the stumps, tucked away towards square leg"
"another cutter, outside off this time, Head cuts it past the diving cover fielder but there is a sweeper in place"
"fuller at the stumps, driven towards sweeper cover for another single"
"fuller on the pads and whipped away, finding the gap between the two fielders patrolling the square boundary"
"fuller outside off, looks to drive through covers but ends up under-edging it into the ground. Bounces towards the keeper"
"tossed up around off, skips down and pushes it towards long-on"
"floated well outside off, Head goes for the slog sweep but ends up top-edging it towards short fine leg, Mennie moves to his left and takes a tumbling catch"
"tossed up on middle and leg, comes down and pushes it towards short midwicket"
"fuller on the stumps, slower again. Driven inside out towards deep extra cover"
"tossed up around off, comes forward and pushes towards cover"
"flighted outside off, pushes away from the body, gets a thick outside edge towards short third man"
"beats him in the flight but the keeper misses the stumping chance. Was a length ball outside off, Nielsen was drawn forward but Harper failed to collect"
pushed towards sweeper cover
"length ball on middle and leg, turned behind square leg"
uses his feet and drives but cannot beat extra cover
"good stop by Samit at short third man. A reverse sweep to length ball, neat connection but Samit dives to his left to keep it to one"
"fuller around off, pushed towards short midwicket"
"fuller on the stumps, sweeps it towards short fine leg"
"a high full toss, comes down the track but fails to put it away, only a single to deep midwicket"
"length ball at the stumps, goes back and punches it towards sweeper cover"
"fuller on the stumps, goes for the slog sweep but fails to middle. Toe end of the bat and a simple catch for Webster, well inside the deep midwicket boundary"
"length ball at the stumps, punched towards short midwicket where the fielder makes a diving stop to his left"
"slower outside off, pushes it towards sweeper cover"
"length outside off, goes back and cuts it towards deep extra cover"
"length ball around off, 77.1kph, pushed back towards the bowler"
"slower again, Wells uses his feet and drives it towards long-on"
"tossed up outside off, drives it through covers for one"
"length ball on the pads, looks to work on the leg side but misses, struck on the pads"
"slower again, just outside off, defended towards covers"
"fuller outside off, driven but straight towards extra cover"
"fuller outside off, flighted again, drives it towards the left of extra cover"
"length ball around off, stays back and turns it towards midwicket for a couple"
"length ball around off, goes back and cuts it towards deep-backward point"
"length ball around off, drops it on the off side and scampers to the other end"
"tossed up outside off, cuts it towards deep cover"
"length outside off, some extra bounce there. Short looks to hit it through the off side, misses"
"fuller around off, driven along the ground towards long-on"
"fuller around off once again, tucked away towards midwicket this time and they come back for the second"
"short on middle and leg, mistimes the pull towards midwicket"
"length ball around off, pushed towards mid-on from the back foot"
"length ball outside off, pushed towards deep extra cover"
"length ball around off, punched towards deep extra cover"
"length ball around off, goes back and cuts it towards deep extra cover"
"length ball around off, looks to back away and force through the off side, a thick outside edge towards short third man"
"down the track but can manage to hit it towards long-on only, a couple of bounces to the fielder"
"length around off, stays back and forces it towards extra cover"
"finally a boundary! Goes back this time and pulls it from outside off over deep midwicket, was a touch short and the lack of pace allowed Short to rock back and smash it"
"length ball on the pads, tucked away towards backward square leg"
"slower one, fuller on the pads, flicked towards deep square leg"
"down the track, Christian bangs it short but Wells adjusts and cuts it over point for four"
"slapped hard but straight towards sweeper cover, was a length ball outside off this time"
a slower bouncer but too high. Short leaves it alone. Called a wide
"fuller on the pads, tucked away towards deep square leg"
"a slower full toss on the leg side, tucked away towards midwicket"
"fuller outside off, uses his feet and pushes it towards extra cover"
"a low full toss outside off, pushes it towards the off side"
"tossed up outside off, cuts it square off the wicket, Webster moves to his left, gets low and stops it just inside"
"fuller but way outside off, cuts it behind point. Webster had no chance this time"
"fuller around off, turned away towards midwicket"
"a full toss at the batsman, but Short missed out. Was on the move but ends up mistiming it towards short fine leg"
"uses his feet to take it on the full, hits it towards long-on"
"looks to come down but Nabi bowls it extremely slow and shortens his length as well, cuts it towards backward point"
"a touch fuller outside off, hits it towards sweeper cover"
"slower again but this time too short, Wells rocks back and cuts it towards the deep cover boundary"
"another cut this time, Harris from backward point gets a hand to it. Two more to the total"
"short on middle and leg, goes back and cuts it towards deep midwicket"
"fuller around off, moves across and looks to hit behind square on the leg side. Misses"
"fuller outside off, looks to smash down the ground. A thick outside edge towards third man, well short of the fielder though"
a juicy full toss outside off and given the treatment it deserved. Dispatched over deep midwicket
"fuller and wider outside off, fails to get the bat on it"
"length ball outside off, walks towards the bowler and smashes it over deep midwicket, great connection"
