"short, wide, flayed on the up through cover point. Sanga still has it. Sanga has always had it. He sees the width and laces it through the line"
"<strong>edged and dropped at second slip</strong>. Fuller and closer to off, angling in, straightens away to have Sanga poking at it. Asif Ali at second slip stretches to his right and spills it"
"back of a length and slanting away outside off, no shot"
"full and attacking off stump, played back down the pitch"
"back of a length and darting away outside off, Shehzad throws his bat at the ball... and misses"
"good length and put on off stump, presses forward and blocks back to Raees"
"dug short and outside off, Sanga camps back and shovels it across to short midwicket"
"back of a length and slanting away outside off, slashed away to the right of cover-point"
"<strong>Sami bursts past the outside edge</strong>. Good length, angling in, bounces, and seams away past the bat"
"full on off stump, pushed past the right of Sami to mid-on"
"back of a length and outside off, Shehzad punches on the up and hits it to extra cover"
picked off the hips to the right of long leg for a double
"<strong>Raees has his man now</strong>. Asif Ali bends low and makes no mistake this time at first slip. Full and Raees explores the channel outside off, finds movement off the pitch, Sanga hangs his bat out and snicks it behind. Looks like the rain has juiced up the pitch. Rare failure for Sanga"
"good length and put outside off, Bravo shoulders arms"
"full and just a shade outside off, Bravo loosens his grip and drops a single to cover"
"good length and breaks in against the angle, squirted back to the bowler off an inside edge"
"pitched up on off, draws Shehzad forward, blocked to short cover"
"good length on off, Shehzad aims the leg side, instead leading-edges it to short cover. <b>He's on 2 off 11 balls</b>"
"back of a length and angling across off, stabbed on the up past the right of the bowler and left of wide mid-off. First boundary since the first ball"
"short on the hips, glanced to fine leg"
"full and probing away just a shade outside off, moves past the outside edge, <strong>nearly trimmed the top of off</strong>"
"Shehzad puts bat on ball now, although this is a streaky outside edge that rolls away to deep third man"
"<strong>Sami bounces out Bravo</strong> and lets out a big roar. Banged in short at the shoulder, angling away, cramps up Bravo for room. The batsman loses his shape and falls over. The resultant top edge is snaffled by Finn diving forward from short fine leg. The England quick seemed to have misjudged it but then moved in and to his right to recover"
Sami goes past the outside edge again. This is neither full nor shot. This is the in-between length. The batsman is neither forward nor back. He is pinned to the crease and watches the ball skirt past the bat. Sami is turning the clock back
"full and just a shade outside off, tapped to extra cover off the front foot"
"short and outside off, Shehzad rides the bounce and jabs it away to the right of deep third man"
"back of a length and outside off, that's the <strong>definition of a crunching dot</strong>. Punched on the up to the right of backward point. Shadab throws himself to his right to pounce on the ball"
good length and angling into a bunt to mid-on for one
"Finn nearly hits 140ks and attacks the off stump, Shehzad's iffy defence intervenes"
"overpitched at the toes, clipped away to deep square leg"
"back of a length and outside off, Shehzad jumps on top of the bounce and punches to cover-point"
